area,trabalhados,nao_trabalhados,im_agua,rec_agua,focal,peri,nebul,mecanico,alternativo
77/2024,3334,2792,0,0,3,0,1960,594,8
78/2023,2771,2395,0,0,0,0,1685,191,5
78/2024,1353,567,0,0,0,0,1353,0,0
79/2023,2729,2438,0,0,0,0,973,16,0
79/2024,1783,1714,0,0,0,0,1260,27,0
80/2023,1717,1508,0,0,5,0,307,1125,4
80/2024,184,349,0,0,3,0,0,101,11
81/2023,411,349,0,0,0,0,0,263,0
81/2024,400,386,0,0,0,0,0,236,5
82/2023,1158,868,0,0,4,0,614,37,10
82/2024,2459,1938,0,0,0,0,2459,0,0
83/2023,1764,1464,0,0,0,0,1194,5,0
83/2024,103,131,0,0,0,0,103,0,0
84/2023,960,816,0,0,15,0,0,80,9
84/2024,1381,793,0,0,0,0,1381,12,0
85/2023,1943,1669,0,0,0,0,879,9,0
85/2024,1761,1116,0,0,0,0,1761,0,0
86/2023,824,512,0,0,0,0,824,0,0
86/2024,3266,3105,12,12,13,0,0,279,39
87/2023,910,927,0,0,0,0,464,1,0
87/2024,2775,1856,0,0,0,0,2775,0,0
88/2023,1663,1297,0,0,0,0,876,0,0
88/2024,476,313,0,0,0,0,258,0,0
89/2023,931,601,0,0,0,0,464,7,0
89/2024,1824,2384,0,0,0,0,1055,363,0
90/2022,1125,980,0,0,0,0,1021,0,0
90/2023,939,805,0,0,0,0,461,461,0
90/2024,2967,2086,0,0,0,0,2967,0,0
91/2023,2970,1970,0,0,1,0,1170,5,0
91/2024,3714,2993,0,0,0,0,3714,0,0
92/2024,2174,1443,10,10,13,0,1011,84,11
93/2024,1224,698,0,0,0,0,1224,0,0
94/2024,759,579,3,3,10,0,0,55,2
95/2024,3178,2534,14,14,78,0,0,179,25
96/2024,1079,736,0,0,0,0,1079,0,0
97/2024,849,1144,0,0,0,0,849,0,0
98/2024,3324,2960,0,0,0,0,3324,0,0
99/2024,519,680,0,0,0,0,0,253,38
